SortName	Sequence	Size	Comparations	Time	Status
RadixSort[8]	IncreasingSequence	50*10^3	0	1586mics	SUCCSES
ShellSort	DecreasingSequence	50*10^3	485242	1497mics	SUCCSES
SelectionSort	DecreasingSequence	50*10^3	1249975000	4452957mics	SUCCSES
RadixSort[1]	DecreasingSequence	50*10^3	0	11783mics	SUCCSES
RadixSort[2]	DecreasingSequence	50*10^3	0	5896mics	SUCCSES
RadixSort[4]	DecreasingSequence	50*10^3	0	3017mics	SUCCSES
RadixSort[8]	DecreasingSequence	50*10^3	0	1600mics	SUCCSES
ShellSort	RandomSequence	50*10^3	1622973	9032mics	SUCCSES
SelectionSort	RandomSequence	50*10^3	1249975000	4584839mics	SUCCSES
RadixSort[1]	RandomSequence	50*10^3	0	11775mics	SUCCSES
RadixSort[2]	RandomSequence	50*10^3	0	5854mics	SUCCSES
RadixSort[4]	RandomSequence	50*10^3	0	3009mics	SUCCSES
RadixSort[8]	RandomSequence	50*10^3	0	1596mics	SUCCSES
ShellSort	StepSequence	50*10^3	505445	2110mics	SUCCSES
SelectionSort	StepSequence	50*10^3	1249975000	4450908mics	SUCCSES
RadixSort[1]	StepSequence	50*10^3	0	11566mics	SUCCSES
RadixSort[2]	StepSequence	50*10^3	0	5784mics	SUCCSES
RadixSort[4]	StepSequence	50*10^3	0	3001mics	SUCCSES
RadixSort[8]	StepSequence	50*10^3	0	1575mics	SUCCSES
